Código,Nome,Enderezo,Concello,Provincia,Cód. postal,Teléfono,Tipo de centro,COORDENADA_X,COORDENADA_Y,TITULARIDADE,ENSINO_CONCERTADO,DEPENDENTE
36003807,CEIP Rosalía de Castro,Rúa Rosalia de Castro 22,O Grove,Pontevedra,36980,886151434,CEIP,42.49241638183594,-8.86772632598877,Pública,Non,Si
36003820,CPR Nuestra Señora del Carmen,Rúa Luis A.Mestre 31,O Grove,Pontevedra,36980,986732933,CPR,42.49201583862305,-8.86599349975586,Privada,Si,Non
36003832,CEIP Valle-Inclán,Ardia 14,O Grove,Pontevedra,36980,986735096,CEIP,42.480801,-8.860602,Pública,Non,Si
36003959,CEIP Manuel Rodríguez Sinde,Rúa Tui 15,A Guarda,Pontevedra,36780,886110086,CEIP,41.89928436279297,-8.871148109436035,Pública,Non,Si
36003960,CPR Plurilingüe Padres Somascos,Rúa Pacifico Rodriguez 6,A Guarda,Pontevedra,36780,986610975,CPR,41.901859283447266,-8.87158203125,Privada,Si,Non
36003996,CPR Plurilingüe San José,Camiño de Curras 2,A Guarda,Pontevedra,36780,986611165,CPR,41.90581512451172,-8.866153717041016,Privada,Si,Non
36004095,CEIP Manuel Rivero,Rúa MARUJA GUTIÉRREZ,Lalín,Pontevedra,36500,986783936,CEIP,42.65776062011719,-8.107850074768066,Pública,Non,Si
36004101,CEIP Xesús Golmar,Rúa E 9,Lalín,Pontevedra,36500,886151272,CEIP,42.66353988647461,-8.106633186340332,Pública,Non,Si
36004113,CPR Plurilingüe Sagrado Corazón,Rúa Penatoares 1,Lalín,Pontevedra,36500,886448940,CPR,42.66391372680664,-8.108548164367676,Privada,Si,Non
36004137,IES Ramón Mª Aller Ulloa,Rúa Banda de Música de Lalín 6,Lalín,Pontevedra,36500,986780114,IES,42.66398239135742,-8.106101036071777,Pública,Non,Si
36004149,CEIP Xoaquín Loriga,Lugar Prado s/n,Lalín,Pontevedra,36512,986794016,CEIP,42.680728912353516,-8.180113792419434,Pública,Non,Si
36004174,CEIP Plurilingüe Vicente Arias de la Maza,Lugar Vilatuxe s/n,Lalín,Pontevedra,36519,986783094,CEIP,42.61421585083008,-8.192983627319336,Pública,Non,Si
36004460,CEIP de Ardán,Ardán (Santa María),Marín,Pontevedra,36912,886151331,CEIP,42.349727630615234,-8.74531078338623,Pública,Non,Si
36004472,CEIP do Carballal,"Viñas Blancas, s/n (O Carballal)",Marín,Pontevedra,36915,886151357,CEIP,42.383243560791016,-8.689098358154297,Pública,Non,Si
36004484,CEIP da Laxe,Rúa REPUBLICA ARXENTINA 40,Marín,Pontevedra,36900,886151345,CEIP,42.38852310180664,-8.694205284118652,Pública,Non,Si
36004496,CEP de Sequelo-Marín,Rúa ENRIQUE TURRALL s/n,Marín,Pontevedra,36900,886151325,CEP,42.38459396362305,-8.700811386108398,Pública,Non,Si
36004514,CPR Plurilingüe La Inmaculada,Rúa A Estrada 8,Marín,Pontevedra,36900,986881076,CPR,42.3917236328125,-8.700197219848633,Privada,Si,Non
36004526,CPR Plurilingüe San Narciso,Lugar CHAN DO MONTE 27,Marín,Pontevedra,36900,663337175,CPR,42.38930892944336,-8.708127975463867,Privada,Si,Non
36004538,EEI Nosa Señora do Carme,Avenida Jaime Janer s/n,Marín,Pontevedra,36900,886151337,EEI,42.38209915161133,-8.698373794555664,Pública,Non,Si
36004551,IES Illa de Tambo,Rúa da Estrada,Marín,Pontevedra,36900,986880158,IES,42.39102554321289,-8.69913387298584,Pública,Non,Si
36004681,CEIP de Seixo,Seixo (Nosa Señora Do Carme),Marín,Pontevedra,36913,886151350,CEIP,42.36734390258789,-8.729281425476074,Pública,Non,Si
36004691,CEIP de Coirón-Dena,Rúa dos Colexios,Meaño,Pontevedra,36967,886151374,CEIP,42.45591735839844,-8.812193870544434,Pública,Non,Si
36004708,CPI de Mosteiro-Meis,Mosteiro,Meis,Pontevedra,36637,886151379,CPI,42.51884460449219,-8.705355644226074,Pública,Non,Si
36004711,CEIP Plurilingüe Domaio,Rúa Verdeal 23,Moaña,Pontevedra,36957,886110278,CEIP,42.29408264160156,-8.678899765014648,Pública,Non,Si
36004733,CEIP Plurilingüe de Reibón,"Xunqueira, 17 (Reibon)",Moaña,Pontevedra,36955,886120348,CEIP,42.288482666015625,-8.728413581848145,Pública,Non,Si
36004745,IES Plurilingüe A Paralaia,Lugar O Redondo s/n,Moaña,Pontevedra,36950,886120354,IES,42.29409408569336,-8.735342979431152,Pública,Non,Si
36004927,CPI de Mondariz,Avenida Grupo Escolar 39,Mondariz,Pontevedra,36870,886110291,CPI,42.235843658447266,-8.454048156738281,Pública,Non,Si
36005087,CEIP Nosa Señora de Lourdes,Rúa da Constitucion 21,Mondariz-Balneario,Pontevedra,36890,886110310,CEIP,42.22400665283203,-8.472043991088867,Pública,Non,Si
36005129,EFOG Divino Maestro,Rúa Calvo Sotelo 4,Mondariz-Balneario,Pontevedra,36890,-,EFOG,42.22530746459961,-8.469686508178711,Pública,Non,Si
36005142,CPI Plurilingüe Santa Lucía,Rúa Sete 34,Moraña,Pontevedra,36660,886159528,CPI,42.585445404052734,-8.587188720703125,Pública,Non,Si
36005245,CEIP Mestre Martínez Alonso,Rúa Castro 50,Mos,Pontevedra,36415,886110315,CEIP,42.19974136352539,-8.605810165405273,Pública,Non,Si
36005427,CPR Plurilingüe Lar,Avenida Rebullón 21,Mos,Pontevedra,36416,986487792,CPR,42.20646286010742,-8.65982723236084,Privada,Si,Non
36005555,CEIP Marquesa do Pazo da Mercé,Ctra Circunvalación 64,As Neves,Pontevedra,36440,886110114,CEIP,42.085296630859375,-8.413541793823242,Pública,Non,Si
36005622,EEI de Rubiós,O Couto,As Neves,Pontevedra,36449,649390956,EEI,42.11091232299805,-8.422365188598633,Pública,Non,Si
36005658,EEI de Taboexa,As Barreiras,As Neves,Pontevedra,36448,689561152,EEI,42.1357307434082,-8.43649959564209,Pública,Non,Si
36005671,EFAG A Cancela,Rúa Tortoreos s/n,As Neves,Pontevedra,36449,986648250,EFAG,42.09746170043945,-8.423922538757324,Privada,Si,Non
36005774,CEIP Plurilingüe Humberto Juanes,"Rúa Curros Enriquez, 2 (Vilamean)",Nigrán,Pontevedra,36350,886110377,CEIP,42.14091873168945,-8.807665824890137,Pública,Non,Si
36005865,CPI Plurilingüe Arquitecto Palacios,Camiño dos Lagos 1,Nigrán,Pontevedra,36340,986365963,CPI,42.146060943603516,-8.82310962677002,Pública,Non,Si
36005919,CPR Plurilingüe Ángel de la Guarda,Priegue (San Mamede),Nigrán,Pontevedra,36391,986368073,CPR,42.1657829284668,-8.796777725219727,Privada,Si,Non
36005956,CEIP Carlos Casares,"Rúa PP Franciscanos, 40 (As Tomadas)",Nigrán,Pontevedra,36379,886110382,CEIP,42.11782455444336,-8.792302131652832,Pública,Non,Si
36006067,CEIP Mestre Manuel García,Camiño do Fial 23,Oia,Pontevedra,36794,886110488,CEIP,42.00632095336914,-8.876705169677734,Pública,Non,Si
36006079,CPI Curros Enríquez,Lugar Pazos 25,Pazos de Borbén,Pontevedra,36841,886110501,CPI,42.293121337890625,-8.532905578613281,Pública,Non,Si
36006109,CEIP de Parada-Campañó,Parada,Pontevedra,Pontevedra,36157,886151601,CEIP,42.45985794067383,-8.654255867004395,Pública,Non,Si
36006122,CEIP A Xunqueira Nº 1,Rúa Celso Emilio Ferreiro 2,Pontevedra,Pontevedra,36005,886159029,CEIP,42.437889099121094,-8.639315605163574,Pública,Non,Si
36006134,CEIP Plurilingüe San Benito de Lérez,Lugar O Cruceiro 57,Pontevedra,Pontevedra,36156,886151564,CEIP,42.4523811340332,-8.631429672241211,Pública,Non,Si
36006195,CEIP A Carballeira,Lugar A Camboa 10,Pontevedra,Pontevedra,36910,886151574,CEIP,42.400089263916016,-8.683890342712402,Pública,Non,Si
36006237,"CPR Plurilingüe Sagrado Corazón de Jesús, Placeres",Rúa da Praia (Os Placeres) 8,Pontevedra,Pontevedra,36910,986881349,CPR,42.407413482666016,-8.684354782104492,Privada,Si,Non
36006316,CEIP Daría González García,Avenida Montecelo 18,Pontevedra,Pontevedra,36161,986804135,CEIP,42.4243049621582,-8.615647315979004,Pública,Non,Non
36006353,CEIP de Vilaverde-Mourente,Rúa Villaverde 9,Pontevedra,Pontevedra,36164,886159034,CEIP,42.43097686767578,-8.620308876037598,Pública,Non,Si
36006377,CEIP Álvarez Limeses,Rúa Joaquin Costa 13,Pontevedra,Pontevedra,36001,986851780,CEIP,42.42902374267578,-8.640693664550781,Pública,Non,Si
36006390,CEIP Manuel Vidal Portela,Avenida de Buenos Aires s/n,Pontevedra,Pontevedra,36002,886151937,CEIP,42.43310546875,-8.63803768157959,Pública,Non,Si
36006407,CEIP Plurilingüe Froebel,Rúa Martitegui 3,Pontevedra,Pontevedra,36002,886159532,CEIP,42.43239212036133,-8.650065422058105,Pública,Non,Si
36006419,IES Montecelo,Avenida Montecelo 16,Pontevedra,Pontevedra,36161,986850261,IES,42.42650604248047,-8.618345260620117,Pública,Non,Si
36006420,CEP Campolongo,Rúa Xeneral Rubín 3,Pontevedra,Pontevedra,36001,886151513,CEP,42.42778396606445,-8.645562171936035,Pública,Non,Si
36006432,CPR Colegio Juan Sebastián Elcano,Rúa Rosalía de Castro 66,Pontevedra,Pontevedra,36001,986863395,CPR,42.42571258544922,-8.651445388793945,Privada,Non,Non
36006456,CEEPR Juan XXIII,Rúa Eduardo Blanco Amor 66,Pontevedra,Pontevedra,36003,986855018,CEEPR,42.420875549316406,-8.646750450134277,Privada,Si,Non
36006511,Cen. Pub. Casa Tut. Menores Avelino Montero,Avenida de Vigo 20,Pontevedra,Pontevedra,36005,986844862,Cen. Pub.,42.425777435302734,-8.64016056060791,Pública,Non,Non
36006641,CPR Plurilingüe Calasancio,Rúa Blanco Porto 15,Pontevedra,Pontevedra,36001,986850941,CPR,42.428382873535156,-8.639325141906738,Privada,Si,Non
36006675,CPR San José,Rúa Princesa 1,Pontevedra,Pontevedra,36002,986861990,CPR,42.43307876586914,-8.645819664001465,Privada,Si,Non
36006699,CPR Plurilingüe Sagrado Corazón de Jesús,Rúa A Estrada 24,Pontevedra,Pontevedra,36004,986856350,CPR,42.42719268798828,-8.629632949829102,Privada,Si,Non
36006705,CPR Plurilingüe Ntra. Sra. de los Dolores,Rúa Alfonso XIII 2-12,Pontevedra,Pontevedra,36002,986856650,CPR,42.432437896728516,-8.651646614074707,Privada,Si,Non
36006717,IES Sánchez Cantón,Avenida Raíña Vitoria Uxía,Pontevedra,Pontevedra,36001,886159039,IES,42.4288330078125,-8.648576736450195,Pública,Non,Si
36006729,IES Valle-Inclán,Gran Vía de Montero Ríos s/n,Pontevedra,Pontevedra,36001,986866448,IES,42.43125915527344,-8.647379875183105,Pública,Non,Si
36006730,IES Frei Martín Sarmiento,Avenida DE VIGO 23,Pontevedra,Pontevedra,36003,986852654,IES,42.42577362060547,-8.639765739440918,Pública,Non,Si
36006778,CEIP de Ponte Sampaio,Rúa A Xunqueira 12,Pontevedra,Pontevedra,36690,886151613,CEIP,42.34575271606445,-8.602542877197266,Pública,Non,Si
36006833,CEIP San Martiño,Lugar Igrexa-Salcedo 18,Pontevedra,Pontevedra,36143,886151541,CEIP,42.41357421875,-8.648890495300293,Pública,Non,Si
36006973,CPR Plurilingüe Hermanos Quiroga Rodríguez,Rúa Antonio Palacios s/n,O Porriño,Pontevedra,36400,986330689,CPR,42.16092300415039,-8.614461898803711,Privada,Si,Non
36006997,CPR Santo Tomás,"A Florida, Torneiros",O Porriño,Pontevedra,36410,986337614,CPR,42.1617431640625,-8.637346267700195,Privada,Si,Non
36007011,IES Pino Manso,Rúa Antonio Palacios 76,O Porriño,Pontevedra,36400,886110392,IES,42.159759521484375,-8.61379623413086,Pública,Non,Si
36007023,CEIP Plurilingüe Xosé Fernández López,Rúa Doantes de Sangue 1,O Porriño,Pontevedra,36400,886110429,CEIP,42.1590461730957,-8.613109588623047,Pública,Non,Si
36007035,CPI Domingo Fontán,Rapeira 9,Portas,Pontevedra,36658,886151632,CPI,42.5797233581543,-8.655767440795898,Pública,Non,Si
36007060,CEIP Plurilingüe de Chancelas,Rúa Xunqueira s/n,Poio,Pontevedra,36993,886151469,CEIP,42.424224853515625,-8.712483406066895,Pública,Non,Si
36007199,CEIP Plurilingüe Isidora Riestra,Rúa Camiño da Reiboa 10,Poio,Pontevedra,36995,886151450,CEIP,42.44007110595703,-8.689377784729004,Pública,Non,Si
36007242,CEIP de Viñas,Viñas 2,Poio,Pontevedra,36163,886151473,CEIP,42.43307876586914,-8.664649963378906,Pública,Non,Si
36007370,CEIP Plurilingüe Feliciano Barrera,O Casal,Ponteareas,Pontevedra,36861,886110585,CEIP,42.15436935424805,-8.543156623840332,Pública,Non,Si
36007497,CEIP Plurilingüe Nosa Señora dos Remedios,Rúa Azorin s/n,Ponteareas,Pontevedra,36860,886110532,CEIP,42.1711540222168,-8.505170822143555,Pública,Non,Si
36007515,CPR Plurilingüe Santiago Apóstol,Avenida Castelao 45,Ponteareas,Pontevedra,36860,986640112,CPR,42.17412567138672,-8.509639739990234,Privada,Si,Non
36007527,CPR Plurilingüe La Inmaculada,Rúa AMADO GARRA 2,Ponteareas,Pontevedra,36860,986640065,CPR,42.17318344116211,-8.505439758300781,Privada,Si,Non
36007539,CEIP Fermín Bouza Brey,Avenida Bouza Brey 15,Ponteareas,Pontevedra,36860,886110568,CEIP,42.1695556640625,-8.506183624267578,Pública,Non,Si
36007552,CIFP A Granxa,"Rúa Areas, s/n (Apdo. 7)",Ponteareas,Pontevedra,36860,886120880,CIFP,42.1810302734375,-8.519917488098145,Pública,Non,Si
36007591,CEIP Manuel Cordo Boullosa,Rúa Concepcion Areal,Ponte Caldelas,Pontevedra,36820,886151498,CEIP,42.388160705566406,-8.503092765808105,Pública,Non,Si
36007621,CPI de Pontecesures,Rúa Avelino Pousa Antelo 2,Pontecesures,Pontevedra,36640,886151501,CPI,42.721622467041016,-8.649651527404785,Pública,Non,Si
36007631,CEIP Plurilingüe de Porto Cabeiro,Estrada Porto Cabeiro 5,Redondela,Pontevedra,36815,886110674,CEIP,42.24629211425781,-8.630398750305176,Pública,Non,Si
36007643,CEIP Plurilingüe Outeiro das Penas,Estrada de Cesantes 22,Redondela,Pontevedra,36693,886120381,CEIP,42.30795669555664,-8.605525970458984,Pública,Non,Si
36007709,CEIP Plurilingüe de Reboreda,Camiño do Colexio de Reboreda 3,Redondela,Pontevedra,36818,886110662,CEIP,42.28865432739258,-8.596699714660645,Pública,Non,Si
36007710,CEP Santa Mariña,Rúa MARISMA 2,Redondela,Pontevedra,36800,886110629,CEP,42.28854751586914,-8.609825134277344,Pública,Non,Si
36007734,IES Mendiño,Avenida MENDIÑO 40,Redondela,Pontevedra,36693,886110590,IES,42.291263580322266,-8.611483573913574,Pública,Non,Si
36007813,CPI Julia Becerra Malvar,"Rúa Joaquin Garcia Alvarez, 16-17",Ribadumia,Pontevedra,36636,886151636,CPI,42.50279235839844,-8.770931243896484,Pública,Non,Si
36008155,CPI Plurilingüe de Rodeiro,Rúa B 14,Rodeiro,Pontevedra,36530,986790028,CPI,42.64853286743164,-7.945566654205322,Pública,Non,Si
36008489,CEP Altamira,Rúa Rosalía de Castro 11,Salceda de Caselas,Pontevedra,36470,886110687,CEP,42.10205841064453,-8.562040328979492,Pública,Non,Si
36008751,CEIP Plurilingüe Infante Felipe de Borbón,"Rúa da Escola, s/n",Salvaterra de Miño,Pontevedra,36450,886110717,CEIP,42.08457946777344,-8.504473686218262,Pública,Non,Si
36008805,CEIP de Portonovo,"Rúa Areal, 5 (Portonovo)",Sanxenxo,Pontevedra,36970,886151672,CEIP,42.39583969116211,-8.827492713928223,Pública,Non,Si
36008829,CEIP Magaláns-Dorrón,Dorrón (San Xoán),Sanxenxo,Pontevedra,36966,886151663,CEIP,42.403533935546875,-8.76681137084961,Pública,Non,Si
36008866,CEIP Plurilingüe A Florida,Ricardo Santos 16,Sanxenxo,Pontevedra,36960,886151645,CEIP,42.40296936035156,-8.800532341003418,Pública,Non,Si
36008878,CEIP Plurilingüe Cruceiro,Rúa Cruceiro s/n,Sanxenxo,Pontevedra,36990,886151687,CEIP,42.44391632080078,-8.835733413696289,Pública,Non,Si
36009032,CEIP Ramón de Valenzuela,Rúa Devesa 6,Silleda,Pontevedra,36570,886151718,CEIP,42.726131439208984,-8.304520606994629,Pública,Non,Si
36009123,CPR Plurilingüe María Inmaculada,Rúa María  Colmeiro 4,Silleda,Pontevedra,36540,986580013,CPR,42.69661331176758,-8.2455415725708,Privada,Si,Non
36009135,CEIP Plurilingüe de Silleda,Rúa Estrada da Estación 2,Silleda,Pontevedra,36540,886151696,CEIP,42.70273971557617,-8.246376037597656,Pública,Non,Si
36009147,CPR Santiago Apostol,A Montesiña,Soutomaior,Pontevedra,36691,986700086,CPR,42.336917877197266,-8.585880279541016,Privada,Si,Non
36009411,CEIP Pintor Antonio Fernández,Praza Pintor Antonio Fernández s/n,Tomiño,Pontevedra,36750,886110741,CEIP,41.947235107421875,-8.773382186889648,Pública,Non,Si
36009494,CEIP Plurilingüe de Tebra,A Igrexa,Tomiño,Pontevedra,36746,886110732,CEIP,42.04169464111328,-8.733861923217773,Pública,Non,Si
36009524,CEP Plurilingüe Pedro Caselles Beltrán,Estrada O Mosteiro,Tomiño,Pontevedra,36740,886110738,CEP,41.987579345703125,-8.749734878540039,Pública,Non,Si
36009627,CPR Neuropsicopedagógico O Pelouro,Rúa Os Baños 81,Tui,Pontevedra,36460,986629024,CPR,42.055965423583984,-8.567161560058594,Privada,Non,Non
36009755,CEIP de Pazos de Reis,A Porteliña 7,Tui,Pontevedra,36715,886110805,CEIP,42.05674743652344,-8.65205192565918,Pública,Non,Si
36009846,CEIP Plurilingüe Nº 1,Avenida Coengo Valiño,Tui,Pontevedra,36700,886110813,CEIP,42.0500602722168,-8.639023780822754,Pública,Non,Si
36009883,CPR Seminario Menor Diocesano San Pelayo,Rúa Calvo Sotelo 4,Tui,Pontevedra,36700,986600051,CPR,42.04829406738281,-8.643342971801758,Privada,Non,Non
36009895,CEIP Plurilingüe Nº 2,Avenida da Concordia s/n,Tui,Pontevedra,36700,886120057,CEIP,42.051639556884766,-8.642510414123535,Pública,Non,Si
36009901,IES San Paio,Rúa Casal Aboy 11,Tui,Pontevedra,36700,886110762,IES,42.051368713378906,-8.648818969726562,Pública,Non,Si
36009913,CEIP Plurilingüe de Baño-Xanza,Lugar Baño,Valga,Pontevedra,36645,886159054,CEIP,42.7047119140625,-8.655295372009277,Pública,Non,Si
36009925,CPR Plurilingüe Amor de Dios,Avenida de Europa 21,Vigo,Pontevedra,36212,986240669,CPR,42.216102600097656,-8.758528709411621,Privada,Si,Non
36009949,CEIP Plurilingüe Javier Sensat,"Rúa Javier Sensat, 8 (O Castañal)",Vigo,Pontevedra,36208,886120243,CEIP,42.2209358215332,-8.762106895446777,Pública,Non,Si
36009962,CEIP Otero Pedrayo,"Rúa Ramiro Pascual, 9 (Carneiras)",Vigo,Pontevedra,36213,886120257,CEIP,42.195194244384766,-8.718771934509277,Pública,Non,Si
36009974,CEIP de Coutada-Beade,"Camiño do Alen, 6 (As Coutadas)",Vigo,Pontevedra,36312,886111196,CEIP,42.19253921508789,-8.701804161071777,Pública,Non,Si
36009998,CEIP de Mosteiro-Bembrive,"Estrada de Bembrive, 161 (Mosteiro) 161",Vigo,Pontevedra,36214,886120216,CEIP,42.20620346069336,-8.691035270690918,Pública,Non,Si
36010009,CEIP Virxe do Rocío,Rúa Rocio 70,Vigo,Pontevedra,36208,886120862,CEIP,42.22004318237305,-8.752205848693848,Pública,Non,Si
36010071,CEIP Plurilingüe Santa Mariña,"Rúa do Xalon, s/n (Becerreira)",Vigo,Pontevedra,36318,886120175,CEIP,42.22075653076172,-8.654605865478516,Pública,Non,Si
36010083,CEIP Plurilingüe Carballal-Cabral,Rúa Lomba 1,Vigo,Pontevedra,36318,886120124,CEIP,42.234901428222656,-8.648063659667969,Pública,Non,Si
36010095,CPR Martín Códax,Avenida Aeroporto 734,Vigo,Pontevedra,36318,986288095,CPR,42.229095458984375,-8.635376930236816,Privada,Si,Non
36010101,CEIP Plurilingüe O Sello,"Rúa Sardomela, 5 (O Sello)",Vigo,Pontevedra,36215,886120268,CEIP,42.22169494628906,-8.668815612792969,Pública,Non,Si
36010125,CEIP de Fonte Escura,Primeira Trav. de Barreiro 34,Vigo,Pontevedra,36317,886120130,CEIP,42.22822189331055,-8.675437927246094,Pública,Non,Si
36010137,CEIP da Igrexa-Candeán,Rúa San Cristovo 131,Vigo,Pontevedra,36317,886120037,CEIP,42.24166488647461,-8.667981147766113,Pública,Non,Si
36010150,CEIP Mestres Goldar,Rúa A COSTA 4,Vigo,Pontevedra,36213,886120095,CEIP,42.213768005371094,-8.722864151000977,Pública,Non,Si
36010162,CEIP A Canicouva,Rúa Canicouva 22,Vigo,Pontevedra,36213,886120237,CEIP,42.20952224731445,-8.729897499084473,Pública,Non,Si
36010204,CEIP Plurilingüe Párroco Don Camilo,Estrada Matama-Pazo 104,Vigo,Pontevedra,36213,886120222,CEIP,42.20105743408203,-8.753597259521484,Pública,Non,Si
36010216,CPR Plurilingüe Divino Salvador,Estrada ó Bao 49,Vigo,Pontevedra,36330,986490320,CPR,42.1942138671875,-8.77884292602539,Privada,Si,Non
36010228,CEIP A Paz,Estrada FRAGOSELO 42,Vigo,Pontevedra,36330,886120271,CEIP,42.18819046020508,-8.773040771484375,Pública,Non,Si
36010241,CEIP Illas Cíes,Avenida de Castelao 59,Vigo,Pontevedra,36209,886120111,CEIP,42.21756362915039,-8.744307518005371,Pública,Non,Si
36010253,CEEPR Fogar e Clin. San Rafael,Rúa San Juan de Dios 1,Vigo,Pontevedra,36208,986232740,CEEPR,42.22297668457031,-8.74658203125,Privada,Si,Non
36010265,EEI Cristo da Victoria,Rúa Caldas de Reis 11,Vigo,Pontevedra,36209,886120205,EEI,42.216312408447266,-8.750807762145996,Pública,Non,Si
36010356,CPR Plurilingüe Escuelas Nieto,"Avenida Ramon Nieto, 247 - Lavadores",Vigo,Pontevedra,36205,986372481,CPR,42.22966766357422,-8.686558723449707,Privada,Si,Non
36010423,CEIP Valle-Inclán,Rúa Lavadores 16,Vigo,Pontevedra,36214,886120202,CEIP,42.223304748535156,-8.699663162231445,Pública,Non,Si
36010435,CPR Plurilingüe El Castro,"Gran Via, 171-173",Vigo,Pontevedra,36210,986481762,CPR,42.22159194946289,-8.72747802734375,Privada,Si,Non
36010459,CEIP Josefa Alonso de Alonso,Rúa Manuel Cominges 14,Vigo,Pontevedra,36213,886120246,CEIP,42.199668884277344,-8.737802505493164,Pública,Non,Si
36010460,CEIP Alfonso D. Rodríguez Castelao,Rúa Pedra Seixa 35,Vigo,Pontevedra,36212,886120253,CEIP,42.20925521850586,-8.760849952697754,Pública,Non,Si
36010472,CEIP Plurilingüe Ría de Vigo,"Avenida Cesareo Vazquez, 139 (Canido)",Vigo,Pontevedra,36390,886120101,CEIP,42.1876106262207,-8.80140495300293,Pública,Non,Si
36010484,CEIP Eduardo Pondal,"Rúa Rosal Florido, 24 (Sampaio)",Vigo,Pontevedra,36215,886120261,CEIP,42.234535217285156,-8.69056510925293,Pública,Non,Si
36010538,CEIP Plurilingüe Lope de Vega,Rúa Emilia Pardo Bazán 119,Vigo,Pontevedra,36214,886111165,CEIP,42.20234298706055,-8.707489013671875,Pública,Non,Si
36010587,CEIP de Sárdoma-Moledo,Estrada do Marco (Moledo) 30,Vigo,Pontevedra,36214,886120168,CEIP,42.20734786987305,-8.707731246948242,Pública,Non,Si
36010629,CEIP Vicente Risco,Rúa Santander 10,Vigo,Pontevedra,36207,886120185,CEIP,42.246177673339844,-8.700839042663574,Pública,Non,Si
36010666,CEIP San Salvador,Avenida de Galicia 181,Vigo,Pontevedra,36216,886120210,CEIP,42.25684356689453,-8.685163497924805,Pública,Non,Si
36010678,CEIP Plurilingüe Paraixal,O Paraixal,Vigo,Pontevedra,36216,886120233,CEIP,42.2485466003418,-8.685527801513672,Pública,Non,Si
36010691,CEP Plurilingüe Igrexa-Valadares,"Camiño Caseiro, s/n (A Igrexa)",Vigo,Pontevedra,36314,886111135,CEP,42.174095153808594,-8.724763870239258,Pública,Non,Si
36010708,CEIP Emilia Pardo Bazán,Camiño do Chouzo 7,Vigo,Pontevedra,36208,886120078,CEIP,42.22334671020508,-8.736152648925781,Pública,Non,Si
36010711,CEP Dr. Fleming,Rúa Ourense 15,Vigo,Pontevedra,36211,886120909,CEP,42.22615051269531,-8.728009223937988,Pública,Non,Si
36010721,CEIP Plurilingüe Ramón y Cajal,Rúa Marques de Valterra 8,Vigo,Pontevedra,36202,886120065,CEIP,42.233978271484375,-8.732364654541016,Pública,Non,Si
36010733,CEE Saladino Cortizo,Rúa Carballal 60,Vigo,Pontevedra,36318,986288188,CEE,42.238338470458984,-8.638245582580566,Pública,Non,Si
36010794,CPR Fillas de María Inmaculada,Avenida Vázquez Varela 57,Vigo,Pontevedra,36204,986423988,CPR,42.22926330566406,-8.7156982421875,Privada,Si,Non
36010800,CPR Plurilingüe Niño Jesús de Praga,Rúa Areal 92,Vigo,Pontevedra,36201,986433800,CPR,42.2386360168457,-8.71339225769043,Privada,Si,Non
36010824,CPR Plurilingüe Monterrey,"Montecelo Alto, 41-43",Vigo,Pontevedra,36207,986272047,CPR,42.24257278442383,-8.701735496520996,Privada,Si,Non
36010836,CPR Breogán,"Avenida Aeroporto, 35-37",Vigo,Pontevedra,36206,986273946,CPR,42.234867095947266,-8.699728012084961,Privada,Si,Non
36010848,CPR Plurilingüe San Fernando,Baixada Salgueira 39,Vigo,Pontevedra,36204,986410174,CPR,42.225616455078125,-8.716238975524902,Privada,Si,Non
36010897,CPR Santa Cristina,Rúa Portela 87,Vigo,Pontevedra,36214,986251309,CPR,42.22760009765625,-8.697556495666504,Privada,Si,Non
36010903,CPR Plurilingüe Apostol Santiago,Sanjurjo Badia 79,Vigo,Pontevedra,36207,986371011,CPR,42.24497985839844,-8.703837394714355,Privada,Si,Non
36010915,CPR Plurilingüe Atlántida,Rúa Rocio 7,Vigo,Pontevedra,36208,986233938,CPR,42.22003173828125,-8.752205848693848,Privada,Si,Non
36010927,CPR Plurilingüe Alborada,Avenida Aeroporto 392,Vigo,Pontevedra,36317,986272432,CPR,42.234458923339844,-8.670342445373535,Privada,Si,Non
36010939,CPR Plurilingüe Barreiro,"Estrada de Valadares, 78 - O Seixo",Vigo,Pontevedra,36314,986467800,CPR,42.18490219116211,-8.722366333007812,Privada,Si,Non
36010976,CPR Plurilingüe Compañía de María,Rúa Ecuador 33-35,Vigo,Pontevedra,36203,986436400,CPR,42.23383712768555,-8.720577239990234,Privada,Si,Non
36011099,CPR Plurilingüe Labor,Avenida das Camelias 53,Vigo,Pontevedra,36211,986414529,CPR,42.22978210449219,-8.730207443237305,Privada,Si,Non
36011117,CPR Plurilingüe Losada,Rúa Baixada o Capitan 31,Vigo,Pontevedra,36214,986272229,CPR,42.227867126464844,-8.691853523254395,Privada,Si,Non
36011142,CPR Plurilingüe María Auxiliadora,Rúa Venezuela 7,Vigo,Pontevedra,36203,986433855,CPR,42.23421096801758,-8.72371768951416,Privada,Si,Non
36011166,CPR Plurilingüe María Inmaculada,Rúa Pi e Margall 58,Vigo,Pontevedra,36202,986229520,CPR,42.23280334472656,-8.73094367980957,Privada,Si,Non
36011178,CPR Plurilingüe Miralba,Gran Via 164,Vigo,Pontevedra,36211,986213047,CPR,42.2215690612793,-8.7286376953125,Privada,Si,Non
36011181,CPR Plurilingüe Mariano,Rúa URZAIZ 122,Vigo,Pontevedra,36205,986275168,CPR,42.231300354003906,-8.708664894104004,Privada,Si,Non
